Symbol,Date,Open,High,Low,Close,Adj Close,Volume
OSTK,11/3/2017,44,45.450001,42.950001,44.549999,44.549999,2091700
OSTK,11/6/2017,44.099998,44.549999,40.349998,40.549999,40.549999,2004700
OSTK,11/7/2017,40.549999,41.790001,39.150002,40.450001,40.450001,1706800
OSTK,11/8/2017,41,42.25,39.599998,40.099998,40.099998,2505600
OSTK,11/9/2017,46,52.950001,43.299999,52.400002,52.400002,6655100
OSTK,11/10/2017,51.950001,56.099998,49.950001,53.150002,53.150002,6612400
OSTK,11/13/2017,52.150002,56.950001,51.599998,56.299999,56.299999,3743300
OSTK,11/14/2017,55.849998,56.299999,49.830002,50.25,50.25,3403700
OSTK,11/15/2017,51.650002,52.349998,48.25,50.029999,50.029999,3343900
OSTK,11/16/2017,50.75,54.5,50.099998,54.25,54.25,3150300
OSTK,11/17/2017,55.900002,55.950001,52.099998,52.400002,52.400002,2321900
OSTK,11/20/2017,52.599998,58.25,52.25,56.650002,56.650002,3012300
OSTK,11/21/2017,56.75,60.799999,55.75,60.450001,60.450001,3113200
OSTK,11/22/2017,61,62.200001,56.849998,61.049999,61.049999,2840800
OSTK,11/24/2017,62.900002,65.25,60.830002,63.950001,63.950001,1697600
OSTK,11/27/2017,64.650002,65.699997,57.549999,58,58,3700800
OSTK,11/28/2017,59.150002,60.5,55.299999,57.599998,57.599998,3429300
OSTK,11/29/2017,59.5,59.599998,50.599998,52,52,3612100
OSTK,11/30/2017,51.400002,51.48,44.5,47.099998,47.099998,6608800
OSTK,12/1/2017,48.75,49.450001,42.200001,42.299999,42.299999,4709000
OSTK,12/4/2017,44.200001,47.650002,43.75,46.099998,46.099998,4309300
OSTK,12/5/2017,46.25,47.450001,45.099998,45.849998,45.849998,2716200
OSTK,12/6/2017,45.5,47.099998,42.299999,42.650002,42.650002,3051800
OSTK,12/7/2017,42.5,47.349998,41.790001,45.650002,45.650002,3055500
OSTK,12/8/2017,46.5,47.400002,44.25,45.080002,45.080002,2146300
OSTK,12/11/2017,49.75,56.049999,48.549999,55,55,5606000
OSTK,12/12/2017,59.099998,59.950001,52.25,53.450001,53.450001,6442200
OSTK,12/13/2017,52.150002,61.150002,51.099998,60.900002,60.900002,6261100
OSTK,12/14/2017,62,62.5,57.150002,61.5,61.5,5412000
OSTK,12/15/2017,61.400002,70,60.650002,68.349998,68.349998,8071900
OSTK,12/18/2017,69,76.400002,65.75,75.800003,75.800003,8822500
OSTK,12/19/2017,73.449997,82.699997,68.050003,73.629997,73.629997,10734600
OSTK,12/20/2017,74.25,78.449997,69,69.949997,69.949997,5500800
OSTK,12/21/2017,68.949997,73.900002,66.150002,67.449997,67.449997,5368800
OSTK,12/22/2017,59.200001,67.400002,58,65.75,65.75,6317200
OSTK,12/26/2017,67.75,70.300003,65.5,69.199997,69.199997,3447900
OSTK,12/27/2017,68.800003,70.849998,67.5,67.849998,67.849998,2133400
OSTK,12/28/2017,65.650002,67.25,64.849998,65.849998,65.849998,1872400
OSTK,12/29/2017,65.699997,68.25,63.849998,63.900002,63.900002,1918600
OSTK,1/2/2018,64.099998,65.400002,61.099998,64.650002,64.650002,2485400
OSTK,1/3/2018,65.5,71.699997,62.900002,71.550003,71.550003,4462100
OSTK,1/4/2018,72.75,78.330002,69.099998,77.800003,77.800003,7392900
OSTK,1/5/2018,78.949997,86.550003,76.599998,84.349998,84.349998,10989900
OSTK,1/8/2018,84,89.800003,80.150002,86.900002,86.900002,7632700
OSTK,1/9/2018,86.550003,88.800003,79,81.150002,81.150002,6325800
OSTK,1/10/2018,78.300003,85.75,77.949997,79.699997,79.699997,6075000
OSTK,1/11/2018,79.949997,84.400002,78.5,80.599998,80.599998,4625000
OSTK,1/12/2018,81.300003,83.300003,78,78.949997,78.949997,4456500
OSTK,1/16/2018,75,77.5,68.300003,70.25,70.25,7506300
OSTK,1/17/2018,67.349998,75.949997,66.699997,75.650002,75.650002,5357000
OSTK,1/18/2018,76.150002,78.400002,70.449997,71.25,71.25,5369900
OSTK,1/19/2018,73.099998,78.349998,71.400002,77.650002,77.650002,5556000
